Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,Inventory ID,Vehicle ID,Receipt Number ,Fund
Dell Laptop w/Bag,79519,ITS,11/26/2013,$78.51 ,74576,,3603198592,General Fund
21 Dell Optiplex 760 Computers,79530,ITS,11/26/2013,$451.51 ,"75160, 75144, 75143, 75165, 75149, 75167, 75140, 75145, 75138, 75148, 75204, 75192, 75162, 75210, 75151, 75154, 75170, 75157, 75150, 75161, 75212",,3604173051,General Fund
"4 Asanti 24"" Chrome Rims",79539,DRUG TASK FORCE,11/27/2013,"$2,000.00 ",TF-311-057,,Cashiers Check,Enterprise
10Kt Yellow Gold Rope Chain,79577,DRUG TASK FORCE,12/4/2013,$815.00 ,TF-310-007A,,Money Order,Enterprise
Men's Diamond Watch,79589,DRUG TASK FORCE,12/11/2013,$460.00 ,TF-310-023,,3603880864,Enterprise
Coach Purse,79618,DRUG TASK FORCE,12/2/2013,$29.00 ,TF-311-036Y,,3603060937,Enterprise
1994 Pontiac Firebird,79630,POLICE STATE DRUG FUND,12/5/2013,$568.00 ,,,Money Order,Enterprise
Wheel Chair Lift,79662,SCHOOL BOARD WAREHOUSE,12/4/2013,$158.99 ,SBS-6182,,3603868643,Enterprise
1 Pallet of Assorted Tires,79667,SCHOOL BOARD WAREHOUSE,12/4/2013,$106.00 ,SBS-6170D,,3603354629,Enterprise
3 Catalytic Converters,79706,OFM,12/5/2013,$125.01 ,OFM-75625A,,Money Order,Enterprise
Ladies Sunglasses,79730,DRUG TASK FORCE,12/10/2013,$77.00 ,TF-311-056J,,3603081450,Enterprise
Ladies Sunglasses,79733,DRUG TASK FORCE,12/11/2013,$62.00 ,TF-311-056M,,Money Order,Enterprise
Ladies Sunglasses,79736,DRUG TASK FORCE,12/16/2013,$145.00 ,TF-311-056P,,Cashiers Check,Enterprise
Ladies Sunglasses,79737,DRUG TASK FORCE,12/17/2013,$29.00 ,TF-311-056Q,,Cashiers Check,Enterprise
Ladies Sunglasses,79743,DRUG TASK FORCE,12/18/2013,$80.00 ,TF-311-056S,,Cashiers Check,Enterprise
4 Air Tanks,79744,SHERIFF,12/11/2013,$28.00 ,"75548, 75549, 75550, 75551",,3603481790,General Fund
Sunglasses,79745,DRUG TASK FORCE,12/18/2013,$258.00 ,TF-311-056T,,Cashiers Check,Enterprise
Southbend Fryer,79759,SCHOOL BOARD WAREHOUSE,12/11/2013,$258.00 ,SBS-6120,,Money Order,Enterprise
Desk,79762,PARKS,12/11/2013,$8.00 ,73776,,3603986157,General Fund
3 File Cabinets,79765,PUBLIC DEFENDER,12/12/2013,$33.11 ,"74820, 74821, 74822",,3604097208,General Fund
2 Care Play Easels,79792,SURPLUS WAREHOUSE,12/16/2013,$65.00 ,74836,,3603946008,General Fund
Hammond Organ w/Bench,79799,SURPLUS WAREHOUSE,12/16/2013,$62.78 ,75582,,3603986174,General Fund
"3 Sony 20"" Televisions",79800,SURPLUS WAREHOUSE,12/16/2013,$2.00 ,75580,,3603986210,General Fund
"Dell 17"" Flat Screen Monitor",79824,SHERIFF,12/16/2013,$27.00 ,69789,,Money Order,General Fund
Clear Modem,79846,POLICE STATE FELONY FORFEITURE,12/17/2013,$16.00 ,PSFF-34-067,,3604575676,Enterprise
7 Stereo Headsets for iPhone,79847,POLICE STATE FELONY FORFEITURE,12/17/2013,$36.00 ,PSFF-34-054A,,3604637978,Enterprise
11 Apple Dock Connectors to USB,79848,POLICE STATE FELONY FORFEITURE,12/17/2013,$25.00 ,PSFF-34-054B,,3604575687,Enterprise
